"","name","genus","species","floron","radar"
"1","Acer campestre","Acer","campestre",TRUE,TRUE
"2","Acer pseudoplatanus","Acer","pseudoplatanus",TRUE,TRUE
"3","Orchis anthropophora","Orchis","anthropophora",TRUE,FALSE
"4","Achillea millefolium","Achillea","millefolium",TRUE,TRUE
"5","Achillea ptarmica","Achillea","ptarmica",TRUE,TRUE
"6","Aconitum vulparia","Aconitum","vulparia",TRUE,FALSE
"7","Acorus calamus","Acorus","calamus",TRUE,TRUE
"8","Actaea spicata","Actaea","spicata",TRUE,FALSE
"9","Adoxa moschatellina","Adoxa","moschatellina",TRUE,FALSE
"10","Aegopodium podagraria","Aegopodium","podagraria",TRUE,TRUE
"11","Aethusa cynapium","Aethusa","cynapium",TRUE,TRUE
"12","Agrimonia eupatoria","Agrimonia","eupatoria",TRUE,TRUE
"13","Agrimonia procera","Agrimonia","procera",TRUE,TRUE
"14","Agrostemma githago","Agrostemma","githago",TRUE,TRUE
"15","Agrostis gigantea","Agrostis","gigantea",TRUE,FALSE
"16","Agrostis stolonifera","Agrostis","stolonifera",TRUE,TRUE
"17","Agrostis capillaris","Agrostis","capillaris",TRUE,TRUE
"18","Aira caryophyllea","Aira","caryophyllea",TRUE,FALSE
"19","Aira praecox","Aira","praecox",TRUE,FALSE
"20","Ajuga chamaepitys","Ajuga","chamaepitys",TRUE,TRUE
"21","Ajuga reptans","Ajuga","reptans",TRUE,TRUE
"22","Alisma gramineum","Alisma","gramineum",TRUE,TRUE
"23","Alisma lanceolatum","Alisma","lanceolatum",TRUE,TRUE
"24","Alisma plantago-aquatica","Alisma","plantago-aquatica",TRUE,TRUE
"25","Alliaria petiolata","Alliaria","petiolata",TRUE,TRUE
"26","Allium carinatum","Allium","carinatum",TRUE,FALSE
"27","Allium oleraceum","Allium","oleraceum",TRUE,FALSE
"28","Allium schoenoprasum","Allium","schoenoprasum",TRUE,TRUE
"29","Allium scorodoprasum","Allium","scorodoprasum",TRUE,FALSE
"30","Allium ursinum","Allium","ursinum",TRUE,FALSE
"31","Allium vineale","Allium","vineale",TRUE,FALSE
"32","Alnus glutinosa","Alnus","glutinosa",TRUE,TRUE
"33","Alnus incana","Alnus","incana",TRUE,TRUE
"34","Alopecurus aequalis","Alopecurus","aequalis",TRUE,TRUE
"35","Alopecurus bulbosus","Alopecurus","bulbosus",TRUE,TRUE
"36","Alopecurus geniculatus","Alopecurus","geniculatus",TRUE,TRUE
"37","Alopecurus myosuroides","Alopecurus","myosuroides",TRUE,TRUE
"38","Alopecurus pratensis","Alopecurus","pratensis",TRUE,TRUE
"39","Althaea officinalis","Althaea","officinalis",TRUE,TRUE
"40","Alyssum alyssoides","Alyssum","alyssoides",TRUE,FALSE
"41","Amaranthus blitum","Amaranthus","blitum",TRUE,TRUE
"42","Amaranthus retroflexus","Amaranthus","retroflexus",TRUE,FALSE
"43","Ambrosia artemisiifolia","Ambrosia","artemisiifolia",TRUE,FALSE
"44","Calamagrostis x calammophila","Calamagrostis","x calammophila",TRUE,FALSE
"45","Calamagrostis arenaria","Calamagrostis","arenaria",TRUE,FALSE
"46","Anacamptis pyramidalis","Anacamptis","pyramidalis",TRUE,FALSE
"47","Anagallis arvensis subsp. arvensis","Anagallis","arvensis subsp. arvensis",TRUE,TRUE
